Model,Train accuracy,Train precision,Train recall,Train f1 score,Train auc,Test accuracy,Test precision,Test recall,Test f1 score,Test auc
Logistic Regression,0.7929373996789727,0.7217391304347827,0.7186147186147186,0.720173535791757,0.8524604647053626,0.8022388059701493,0.7788461538461539,0.7297297297297297,0.7534883720930232,0.8690250760314455
Random Forest,0.8715890850722311,0.8952879581151832,0.7402597402597403,0.8104265402843602,0.9311831875607386,0.8059701492537313,0.8172043010752689,0.6846846846846847,0.7450980392156863,0.8646066448614219
XGBoost,0.9036918138041734,0.9253731343283582,0.8051948051948052,0.8611111111111112,0.9631372029331213,0.8134328358208955,0.7961165048543689,0.7387387387387387,0.7663551401869159,0.8541630802777299
SVM,0.8475120385232745,0.8863636363636364,0.6753246753246753,0.7665847665847666,0.8877606237300114,0.7985074626865671,0.8202247191011236,0.6576576576576577,0.73,0.8175819131233144
