Model,CV Mean,CV Std,Test Accuracy,Test F1-Score,Test AUC,Overfitting Gap,Composite Score
XGBoost,0.8427096774193549,0.035210985893261236,0.8134328358208955,0.7663551401869159,0.8541630802777299,0.09025897798327787,0.8535980159863207
Random Forest,0.8282322580645163,0.038856465772920255,0.8059701492537313,0.7450980392156863,0.8646066448614219,0.06561893581849976,0.8484305389711928
Logistic Regression,0.7914064516129033,0.06153740890799078,0.8022388059701493,0.7534883720930232,0.8690250760314455,0.009301406291176595,0.8409740216327473
SVM,0.8330580645161291,0.042298687197188746,0.7985074626865671,0.73,0.8175819131233144,0.049004575836707365,0.8405855650630719
