Model,Accuracy Gap,Precision Gap,Recall Gap,F1-Score Gap,AUC Gap,Overfitting Status
Logistic Regression,0.009301406291176595,0.057107023411371194,0.01111501111501112,0.03331483630126619,0.01656461132608289,Low
Random Forest,0.06561893581849976,0.07808365703991438,0.0555750555750556,0.06532850106867394,0.06657654269931668,Low
XGBoost,0.09025897798327787,0.1292566294739893,0.0664560664560665,0.0947559709241953,0.10897412265539141,Low
SVM,0.049004575836707365,0.06613891726251275,0.017667017667017615,0.036584766584766615,0.070178710606697,Low
